Area,Latitude,Longitude
"Southern 90th Street",30.0180,31.4710
"Northern 90th Street",30.0280,31.4710
"Cairo Festival City Mall",30.0285,31.4079
"Point 90 Mall",30.0227,31.4934
"Downtown Katameya",30.0086,31.4302
"Maxim Mall",30.0278,31.4925
"One Ninety Mall",30.0185,31.4715
"El Banafsag District",30.0660,31.4750
"El Narges District",30.0100,31.4600
"Lotus District",30.0300,31.4650
"Northern Investors Area",30.0400,31.4800
"Southern Investors Area",30.0050,31.4500
"El Yasmeen District",30.0600,31.4700
"El Choueifat District",30.0250,31.4900
"First Settlement",30.0500,31.4600
"Third Settlement",30.0300,31.4500
"El Ahyaa District",30.0400,31.4400
"Takseam El Andlos",30.0150,31.4550
"El Tamer Hena",30.0200,31.4600
"El Kornfol District",30.0350,31.4700
"Industrial Zone",30.0000,31.4800
"Ard El Zohoor",30.0450,31.4650
"Bank Center Street",30.0200,31.4750
"Mohammed Naguib Axis",30.0250,31.4850
"Gamal Abdel Nasser Axis",30.0300,31.4800
"El Sadat Axis",30.0350,31.4750
"Suez Road",30.0500,31.5000
"Ring Road",30.0400,31.4900
"American University Housing District",30.0200,31.5000
"South of Academy",30.0150,31.4450
"East of Academy",30.0250,31.4550
"Katameya District",30.0050,31.4200
"Golden Square",30.0100,31.4300
"New Lotus",30.0320,31.4670
"New Narges",30.0080,31.4580
"Gharb Arabella",30.0150,31.4400
"Gharb El Golf",30.0200,31.4300
"New Katameya",30.0070,31.4250
"El Rehab",30.0600,31.4900
"Madinaty",30.0900,31.6300
"North Rehab",30.0650,31.4950
"New Cairo Extension",30.0000,31.4700
"Diplomats District",30.0250,31.4600
"Yellow Lane",30.0220,31.4800
"Hyde Park New Cairo",30.0500,31.4700
"The Business Lounge",30.0200,31.4850
"Creek District",30.0150,31.4750
"IT Business Hub",30.0250,31.4900
"Gravity 7",30.0270,31.4920
"Granoy",30.0260,31.4910
